District,Location,School Type,Category,Composition,Number,Population,No/100000
Badin,Urban,Primary,INSTITUTIONS,TOTAL,168,"1,804,516",9.309975639
Badin,Urban,Primary,INSTITUTIONS,MALE,30,"1,804,516",1.66249565
Badin,Urban,Primary,INSTITUTIONS,FEMALE,27,"1,804,516",1.496246085
Badin,Urban,Primary,INSTITUTIONS,MIXED,111,"1,804,516",6.151233904
Badin,Urban,Primary,ENROLMENT,TOTAL,16446,"1,804,516",911.3801152
Badin,Urban,Primary,ENROLMENT,MALE,10015,"1,804,516",554.9964644
Badin,Urban,Primary,ENROLMENT,FEMALE,6431,"1,804,516",356.3836508
Badin,Urban,Primary,TEACHING STAFF,TOTAL,550,"1,804,516",30.47908691
Badin,Urban,Primary,TEACHING STAFF,MALE,382,"1,804,516",21.16911127
Badin,Urban,Primary,TEACHING STAFF,FEMALE,168,"1,804,516",9.309975639
Badin,Urban,Middle,INSTITUTIONS,TOTAL,10,"1,804,516",0.554165217
Badin,Urban,Middle,INSTITUTIONS,MALE,3,"1,804,516",0.166249565
Badin,Urban,Middle,INSTITUTIONS,FEMALE,2,"1,804,516",0.110833043
Badin,Urban,Middle,INSTITUTIONS,MIXED,5,"1,804,516",0.277082608
Badin,Urban,Middle,ENROLMENT,TOTAL,973,"1,804,516",53.92027558
Badin,Urban,Middle,ENROLMENT,MALE,718,"1,804,516",39.78906255
Badin,Urban,Middle,ENROLMENT,FEMALE,255,"1,804,516",14.13121302
Badin,Urban,Middle,TEACHING STAFF,TOTAL,47,"1,804,516",2.604576518
Badin,Urban,Middle,TEACHING STAFF,MALE,42,"1,804,516",2.32749391
Badin,Urban,Middle,TEACHING STAFF,FEMALE,5,"1,804,516",0.277082608
Badin,Urban,Secondary,INSTITUTIONS,TOTAL,8,"1,804,516",0.443332173
Badin,Urban,Secondary,INSTITUTIONS,MALE,3,"1,804,516",0.166249565
Badin,Urban,Secondary,INSTITUTIONS,FEMALE,2,"1,804,516",0.110833043
Badin,Urban,Secondary,INSTITUTIONS,MIXED,3,"1,804,516",0.166249565
Badin,Urban,Secondary,ENROLMENT,TOTAL,10738,"1,804,516",595.0626096
Badin,Urban,Secondary,ENROLMENT,MALE,6855,"1,804,516",379.880256
Badin,Urban,Secondary,ENROLMENT,FEMALE,3883,"1,804,516",215.1823536
Badin,Urban,Secondary,TEACHING STAFF,TOTAL,380,"1,804,516",21.05827823
Badin,Urban,Secondary,TEACHING STAFF,MALE,224,"1,804,516",12.41330085
Badin,Urban,Secondary,TEACHING STAFF,FEMALE,156,"1,804,516",8.644977379
Badin,Urban,Higher secondary,INSTITUTIONS,TOTAL,7,"1,804,516",0.387915652
Badin,Urban,Higher secondary,INSTITUTIONS,MALE,1,"1,804,516",0.055416522
Badin,Urban,Higher secondary,INSTITUTIONS,FEMALE,3,"1,804,516",0.166249565
Badin,Urban,Higher secondary,INSTITUTIONS,MIXED,3,"1,804,516",0.166249565
Badin,Urban,Higher secondary,ENROLMENT,TOTAL,8901,"1,804,516",493.2624593
Badin,Urban,Higher secondary,ENROLMENT,MALE,5920,"1,804,516",328.0658082
Badin,Urban,Higher secondary,ENROLMENT,FEMALE,2981,"1,804,516",165.1966511
Badin,Urban,Higher secondary,TEACHING STAFF,TOTAL,288,"1,804,516",15.95995824
Badin,Urban,Higher secondary,TEACHING STAFF,MALE,171,"1,804,516",9.476225204
Badin,Urban,Higher secondary,TEACHING STAFF,FEMALE,117,"1,804,516",6.483733034
Badin,Rural,Primary,INSTITUTIONS,TOTAL,2595,"1,804,516",143.8058737
Badin,Rural,Primary,INSTITUTIONS,MALE,402,"1,804,516",22.27744171
Badin,Rural,Primary,INSTITUTIONS,FEMALE,247,"1,804,516",13.68788085
Badin,Rural,Primary,INSTITUTIONS,MIXED,1946,"1,804,516",107.8405512
Badin,Rural,Primary,ENROLMENT,TOTAL,123716,"1,804,516",6855.910394
Badin,Rural,Primary,ENROLMENT,MALE,83230,"1,804,516",4612.317098
Badin,Rural,Primary,ENROLMENT,FEMALE,40486,"1,804,516",2243.593296
Badin,Rural,Primary,TEACHING STAFF,TOTAL,3706,"1,804,516",205.3736293
Badin,Rural,Primary,TEACHING STAFF,MALE,3197,"1,804,516",177.1666197
Badin,Rural,Primary,TEACHING STAFF,FEMALE,509,"1,804,516",28.20700952
Badin,Rural,Middle,INSTITUTIONS,TOTAL,91,"1,804,516",5.042903471
Badin,Rural,Middle,INSTITUTIONS,MALE,16,"1,804,516",0.886664347
Badin,Rural,Middle,INSTITUTIONS,FEMALE,16,"1,804,516",0.886664347
Badin,Rural,Middle,INSTITUTIONS,MIXED,59,"1,804,516",3.269574778
Badin,Rural,Middle,ENROLMENT,TOTAL,9532,"1,804,516",528.2302845
Badin,Rural,Middle,ENROLMENT,MALE,5777,"1,804,516",320.1412456
Badin,Rural,Middle,ENROLMENT,FEMALE,3755,"1,804,516",208.0890388
Badin,Rural,Middle,TEACHING STAFF,TOTAL,335,"1,804,516",18.56453476
Badin,Rural,Middle,TEACHING STAFF,MALE,245,"1,804,516",13.57704781
Badin,Rural,Middle,TEACHING STAFF,FEMALE,90,"1,804,516",4.987486949
Badin,Rural,Secondary,INSTITUTIONS,TOTAL,52,"1,804,516",2.881659126
Badin,Rural,Secondary,INSTITUTIONS,MALE,6,"1,804,516",0.33249913
Badin,Rural,Secondary,INSTITUTIONS,FEMALE,9,"1,804,516",0.498748695
Badin,Rural,Secondary,INSTITUTIONS,MIXED,37,"1,804,516",2.050411301
Badin,Rural,Secondary,ENROLMENT,TOTAL,21993,"1,804,516",1218.775561
Badin,Rural,Secondary,ENROLMENT,MALE,15585,"1,804,516",863.6664901
Badin,Rural,Secondary,ENROLMENT,FEMALE,6408,"1,804,516",355.1090708
Badin,Rural,Secondary,TEACHING STAFF,TOTAL,813,"1,804,516",45.05363211
Badin,Rural,Secondary,TEACHING STAFF,MALE,629,"1,804,516",34.85699212
Badin,Rural,Secondary,TEACHING STAFF,FEMALE,184,"1,804,516",10.19663999
Badin,Rural,Higher secondary,INSTITUTIONS,TOTAL,3,"1,804,516",0.166249565
Badin,Rural,Higher secondary,INSTITUTIONS,MALE,1,"1,804,516",0.055416522
Badin,Rural,Higher secondary,INSTITUTIONS,FEMALE,0,"1,804,516",0
Badin,Rural,Higher secondary,INSTITUTIONS,MIXED,2,"1,804,516",0.110833043
Badin,Rural,Higher secondary,ENROLMENT,TOTAL,2827,"1,804,516",156.6625067
Badin,Rural,Higher secondary,ENROLMENT,MALE,2474,"1,804,516",137.1004746
Badin,Rural,Higher secondary,ENROLMENT,FEMALE,353,"1,804,516",19.56203215
Badin,Rural,Higher secondary,TEACHING STAFF,TOTAL,57,"1,804,516",3.158741735
Badin,Rural,Higher secondary,TEACHING STAFF,MALE,54,"1,804,516",2.99249217
Badin,Rural,Higher secondary,TEACHING STAFF,FEMALE,3,"1,804,516",0.166249565
Badin,Total,Primary,INSTITUTIONS,TOTAL,2763,"1,804,516",153.1158493
Badin,Total,Primary,INSTITUTIONS,MALE,432,"1,804,516",23.93993736
Badin,Total,Primary,INSTITUTIONS,FEMALE,274,"1,804,516",15.18412693
